Date,Sport,Event,Time,Additional details,Location,Closest Metro,Start time
July 28,beach volleyball,m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
July 28,beach volleyball,m/w preliminary phase (3 matches),1500-1800,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),15:00
July 28,beach volleyball,m/w preliminary phase (3 matches),2000-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),20:00
July 28,equestrian,eventing cross-country,1030-1530,,château de versailles,versailles château - rive gauche (rer c),10:30
July 28,mountain bike,cross-country final - women's,1400-1630,,château de versailles,versailles château - rive gauche (rer c),14:00
July 28,basketball,m/w group phase (2 matches),1100-1515,,pierre mauroy stadium,lille,11:00
July 28,basketball,m/w group phase (1 match),1715-1900,,pierre mauroy stadium,lille,17:15
July 28,basketball,m/w group phase (1 match),2100-2245,,pierre mauroy stadium,lille,21:00
July 28,artistic gymnastics,qualifications - women's,0930-1320,,bercy arena,bercy (metro 6),09:30
July 28,artistic gymnastics,qualifications - women's,1450-1630,,bercy arena,bercy (metro 6),14:50
July 28,artistic gymnastics,qualifications - women's,1800-1940,,bercy arena,bercy (metro 6),18:00
July 28,artistic gymnastics,qualifications - women's,2110-2250,,bercy arena,bercy (metro 6),21:10
July 29,canoe slalom,"c1 semis, finals - men's",1530-1830,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
July 29,rowing,"rowing: m single sculls, w single sculls semis e/f, m coxless pair, w pairs, m lightweight double sculls, w lightweight double sculls, m quadruple sculls, w quadruple sculls repechage, m eight, w eight heats",0930-1220,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
July 29,judo,"w -57kg, m -73kg elimination rounds",1000-1400,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
July 29,judo,"w -57kg, m -73kg medal rounds",1600-1900,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
July 29,hockey,pool stage (2 matches) - men's,1000-1500,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
July 29,hockey,pool stage (2 matches) - women's,1030-1530,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:30
July 29,hockey,pool stage (2 matches) - women's,1700-2200,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
July 29,hockey,pool stage (2 matches) - women's,1730-2230,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:30
July 29,badminton,m/w/mixed singles & doubles group stage,0830-1200,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
July 29,badminton,m/w/mixed singles & doubles group stage,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 29,badminton,m/w/mixed singles & doubles group stage,1930-2300,,stade pierre de coubertin,porte de vincennes (metro 1),19:30
July 29,handball,preliminary round (2 matches) - men's,0900-1230,,stade pierre de coubertin,porte de vincennes (metro 1),09:00
July 29,handball,preliminary round (2 matches) - men's,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 29,handball,preliminary round (2 matches) - men's,1900-2230,,stade pierre de coubertin,porte de vincennes (metro 1),19:00
July 29,rugby sevens,rugby sevens: w pool rounds,1400-1700,,stade de france,stade de france - saint-denis (rer d),14:00
July 29,rugby sevens,"rugby sevens: w placement matches, quarters",2000-2300,,stade de france,stade de france - saint-denis (rer d),20:00
July 29,diving,synchro 10m platform final - men's,1100-1200,,stade aquatique,stade de france - saint-denis (rer d),11:00
July 29,water polo,preliminary round - women's,1400-1700,,stade aquatique,stade de france - saint-denis (rer d),14:00
July 29,water polo,preliminary round - women's,1830-2130,,stade aquatique,stade de france - saint-denis (rer d),18:30
July 29,boxing,"w 60kg, m 63.5kg, m +92kg round of 32 or 16",1100-1310,,roland-garros stadium,porte d'auteuil (metro 10),11:00
July 29,boxing,"w 60kg, m 63.5kg, m +92kg round of 32 or 16",1530-1740,,roland-garros stadium,porte d'auteuil (metro 10),15:30
July 29,boxing,"w 60kg, m 63.5kg, m +92kg round of 32 or 16",2000-2210,,roland-garros stadium,porte d'auteuil (metro 10),20:00
July 29,tennis,"m/w singles, m/w/mixed doubles",1200-1900,"court suzanne lenglen, court simonne mathieu, outside courts",roland-garros stadium,porte d'auteuil (metro 10),12:00
July 29,tennis,m/w singles,1200-1700,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 29,tennis,m/w singles,1900-2300,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),19:00
July 29,table tennis,m/w singles round 1,1000-1400,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
July 29,table tennis,mixed doubles semis,1600-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),16:00
July 29,table tennis,m/w singles round 2,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
July 29,surfing,surfing: m/w round 3,1900-0430,0700-1630 tahiti time,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),19:00
July 29,swimming,"swimming: w 400m im, w 100m back, m 800m free heats",1100-1300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
July 29,swimming,"swimming: w 400m im, m 200m free finals, w 100m back semis, m 100m back, w 100m breast, w 200m free finals",2030-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
July 29,sailing,"sailing: m/w windsurfing, skiff",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
July 29,archery,team eliminations - men's,0930-1105,,la defense arena (tentative),puteaux (metro 1),09:30
July 29,archery,m team medal rounds,1415-1755,,la defense arena (tentative),puteaux (metro 1),14:15
July 29,shooting,"shooting: mixed team 10m air pistol qualification, m/w 10m air rifle finals",0915-1305,,la courneuve shooting range,la courneuve (metro 13),09:15
July 29,shooting,shooting: trap qualification day 1 - men's,0900-1400,,la courneuve shooting range,la courneuve (metro 13),09:00
July 29,volleyball,preliminary round - women's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
July 29,volleyball,preliminary round - women's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
July 29,volleyball,preliminary round - women's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
July 29,volleyball,preliminary round - women's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
July 29,fencing,"m foil, w sabre through quarters",0930-1650,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",09:30
July 29,fencing,"m foil, w sabre semis, medal finals",1900-2310,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:00
July 29,beach volleyball,m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
July 29,beach volleyball,m/w preliminary phase (3 matches),1500-1800,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),15:00
July 29,beach volleyball,m/w preliminary phase (3 matches),2000-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),20:00
July 29,equestrian,"eventing jumping team final, ind. final",1100-1630,,château de versailles,versailles château - rive gauche (rer c),11:00
July 29,mountain bike,mountain bike: cross-country final - men's,1400-1630,,château de versailles,versailles château - rive gauche (rer c),14:00
July 29,artistic gymnastics,team final - men's,1730-2030,,bercy arena,bercy (metro 6),17:30
July 29,basketball,group phase (2 matches) - women's,1100-1515,,pierre mauroy stadium,lille,11:00
July 29,basketball,w group phase (1 match),1715-1900,,pierre mauroy stadium,lille,17:15
July 29,basketball,w group phase (1 match),2100-2245,,pierre mauroy stadium,lille,21:00
July 30,canoe slalom,"k1 heats - men's, c1 heats - women's",1500-1910,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:00
July 30,rowing,"w single sculls, m single sculls quarters, w double sculls, m double sculls semis, w four, m four repechage",0930-1150,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
July 30,judo,"w -63kg, m -81kg elimination rounds",1000-1400,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
July 30,hockey,pool stage (2 matches) - men's,1000-1500,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
July 30,badminton,m/w singles & doubles group stage,0830-1200,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
July 30,badminton,m/w singles & doubles group stage,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 30,badminton,m/w singles & doubles group stage,1930-2300,,stade pierre de coubertin,porte de vincennes (metro 1),19:30
July 30,handball,preliminaries (2 matches) - women's,0900-1230,,stade pierre de coubertin,porte de vincennes (metro 1),09:00
July 30,rugby sevens,"placement matches, semis, medal finals - women's",1430-2045,,stade de france,stade de france - saint-denis (rer d),14:30
July 30,bmx freestyle,m/w seeding round,1325-1630,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),13:25
July 30,water polo,preliminary round (2 matches) - men's,1030-1330,,stade aquatique,stade de france - saint-denis (rer d),10:30
July 30,water polo,preliminary round (2 matches) - men's,1500-1800,,stade aquatique,stade de france - saint-denis (rer d),15:00
July 30,water polo,preliminary round (2 matches) - men's,1930-2230,,stade aquatique,stade de france - saint-denis (rer d),19:30
July 30,boxing,"w 54kg, w 57kg, m 51kg, m 80kg round of 32 or round of 16",1100-1340,,roland-garros stadium,porte d'auteuil (metro 10),11:00
July 30,boxing,"w 54kg, w 57kg, m 51kg, m 80kg round of 32 or round of 16",1530-1810,,roland-garros stadium,porte d'auteuil (metro 10),15:30
July 30,boxing,"w 54kg, w 57kg, m 51kg, m 80kg round of 32 or round of 16",2000-2240,,roland-garros stadium,porte d'auteuil (metro 10),20:00
July 30,tennis,m/w singles,1200-1700,(court philippe chartrier),roland-garros stadium,porte d'auteuil (metro 10),12:00
July 30,tennis,m/w singles,1900-2300,(court philippe chartrier),roland-garros stadium,porte d'auteuil (metro 10),19:00
July 30,tennis,"m/w singles, m/w/mixed doubles",1200-1900,(court suzanne lenglen),roland-garros stadium,porte d'auteuil (metro 10),12:00
July 30,tennis,"m/w singles, m/w/mixed doubles",1200-1900,(court simonne mathieu),roland-garros stadium,porte d'auteuil (metro 10),12:00
July 30,tennis,"m/w singles, m/w/mixed doubles",1200-1900,(outside courts),roland-garros stadium,porte d'auteuil (metro 10),12:00
July 30,table tennis,m/w singles round 2,1000-1200,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
July 30,table tennis,mixed doubles medal finals,1330-1600,,porte de versailles exhibition centre,porte de versailles (metro 12),13:30
July 30,triathlon,individual final - men's,0800-1030,,pont alexandre iii (start/finish),invalides (rer c and metro 13/8) or franklin d. roosevelt (metro 1/9). check ticket location and official website as bridge is closed. ,08:00
July 30,surfing,"m/w quarters, semis, finals",1900-0515,(0700-1715 tahiti time),place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),19:00
July 30,swimming,"w 200m fly, m 100m free, w 1500m free, w 100m free, m 200m breast, m 4x200m free relay heats",1100-1300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
July 30,swimming,"m 100m free, w 200m fly semis, w 100m back, m 800m free finals, w 100m free, m 200m breast semis, m 4x200m free relay final",2030-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
July 30,football,group stage (8 matches) - men's,1500-2300,,multiple locations - check official documentation,,15:00
July 30,sailing,"m/w windsurfing, skiff",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
July 30,archery,m/w ind. eliminations,1200-1555,,la defense arena (tentative),puteaux (metro 1),12:00
July 30,shooting,mixed team 10m air pistol finals,0930-1050,,la courneuve shooting range,la courneuve (metro 13),09:30
July 30,shooting,"w trap qualification day 1, m trap qualification day 2 and finals",0900-1705,,la courneuve shooting range,la courneuve (metro 13),09:00
July 30,volleyball,preliminary round (2 matches) - men's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
July 30,volleyball,preliminary round (2 matches) - men's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
July 30,volleyball,preliminary round (2 matches) - men's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
July 30,volleyball,preliminary round (2 matches) - men's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
July 30,fencing,"w épée team through semis, placement matches",1200-1730,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",12:00
July 30,fencing,épée team medal finals - women's,1930-2140,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:30
July 30,beach volleyball,m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
July 30,beach volleyball,m/w preliminary phase (3 matches),1500-1800,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),15:00
July 30,beach volleyball,m/w preliminary phase (3 matches),2000-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),20:00
July 30,equestrian,dressage grand prix qualifier,1100-1630,,château de versailles,versailles château - rive gauche (rer c),11:00
July 30,artistic gymnastics,team final - women's,1815-2030,,bercy arena,bercy (metro 6),18:15
July 30,basketball,group phase (2 matches) - men's,1100-1515,,pierre mauroy stadium,lille,11:00
July 30,basketball,group phase (1 match) - men's,1715-1900,,pierre mauroy stadium,lille,17:15
July 30,basketball,group phase (1 match) - men's,2100-2245,,pierre mauroy stadium,lille,21:00
July 30,basketball 3x3,m/w pool round (4 matches),1730-1930,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),17:30
July 30,basketball 3x3,m/w pool round (4 matches),2100-2300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:00
July 31,triathlon,ind. final - women's ,0800-1040,,,,
July 31,badminton,m/w singles group stage,0830-1200,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
July 31,shooting,m 50m rifle 3 pos. qualification,0900-1030,,la courneuve shooting range,la courneuve (metro 13),09:00
July 31,beach volleyball,m/w preliminary phase (4 matches),0900-1300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
July 31,shooting,trap qualification day 2 and finals - women's,0900-1705,,la courneuve shooting range,la courneuve (metro 13),09:00
